Epoch  0, loss: 1.123, acc: 0.687
Eval epoch  0, loss: 0.674, acc: 0.611
Epoch  1, loss: 0.695, acc: 0.680
Eval epoch  1, loss: 0.905, acc: 0.611
Epoch  2, loss: 0.648, acc: 0.753
Eval epoch  2, loss: 1.135, acc: 0.611
Epoch  3, loss: 0.612, acc: 0.707
Eval epoch  3, loss: 0.857, acc: 0.611
Epoch  4, loss: 0.633, acc: 0.713
Eval epoch  4, loss: 0.520, acc: 0.722
Epoch  5, loss: 0.666, acc: 0.767
Eval epoch  5, loss: 0.631, acc: 0.611
Epoch  6, loss: 0.586, acc: 0.767
Eval epoch  6, loss: 0.852, acc: 0.611
Epoch  7, loss: 0.617, acc: 0.773
Eval epoch  7, loss: 0.805, acc: 0.611
Epoch  8, loss: 0.572, acc: 0.760
Eval epoch  8, loss: 0.554, acc: 0.722
Epoch  9, loss: 0.640, acc: 0.720
Eval epoch  9, loss: 0.570, acc: 0.667
Epoch 10, loss: 0.622, acc: 0.687
Eval epoch 10, loss: 0.594, acc: 0.667
Epoch 11, loss: 0.546, acc: 0.740
Eval epoch 11, loss: 0.528, acc: 0.722
Epoch 12, loss: 0.671, acc: 0.760
Eval epoch 12, loss: 0.728, acc: 0.611
Epoch 13, loss: 0.538, acc: 0.767
Eval epoch 13, loss: 0.546, acc: 0.722
Epoch 14, loss: 0.624, acc: 0.747
Eval epoch 14, loss: 0.609, acc: 0.722
Epoch 15, loss: 0.604, acc: 0.747
Eval epoch 15, loss: 1.125, acc: 0.611
Epoch 16, loss: 0.556, acc: 0.767
Eval epoch 16, loss: 0.467, acc: 0.722
Epoch 17, loss: 0.558, acc: 0.760
Eval epoch 17, loss: 0.338, acc: 0.833
Epoch 18, loss: 0.571, acc: 0.740
Eval epoch 18, loss: 0.544, acc: 0.722
Epoch 19, loss: 0.535, acc: 0.773
Eval epoch 19, loss: 0.957, acc: 0.611
Epoch 20, loss: 0.561, acc: 0.760
Eval epoch 20, loss: 0.841, acc: 0.611
Epoch 21, loss: 0.573, acc: 0.773
Eval epoch 21, loss: 0.467, acc: 0.722
Epoch 22, loss: 0.562, acc: 0.793
Eval epoch 22, loss: 0.513, acc: 0.778
Epoch 23, loss: 0.822, acc: 0.767
Eval epoch 23, loss: 0.957, acc: 0.722
Epoch 24, loss: 0.643, acc: 0.707
Eval epoch 24, loss: 0.388, acc: 0.889
Epoch 25, loss: 0.625, acc: 0.720
Eval epoch 25, loss: 0.460, acc: 0.722
Epoch 26, loss: 0.546, acc: 0.760
Eval epoch 26, loss: 0.534, acc: 0.778
Epoch 27, loss: 0.689, acc: 0.740
Eval epoch 27, loss: 0.645, acc: 0.611
Epoch 28, loss: 0.550, acc: 0.753
Eval epoch 28, loss: 0.410, acc: 0.833
Epoch 29, loss: 0.508, acc: 0.813
Eval epoch 29, loss: 0.496, acc: 0.778
Epoch 30, loss: 0.497, acc: 0.793
Eval epoch 30, loss: 0.632, acc: 0.667
Epoch 31, loss: 0.493, acc: 0.760
Eval epoch 31, loss: 0.483, acc: 0.722
Epoch 32, loss: 0.612, acc: 0.767
Eval epoch 32, loss: 0.635, acc: 0.778
Epoch 33, loss: 0.638, acc: 0.827
Eval epoch 33, loss: 15.090, acc: 0.389
Epoch 34, loss: 0.590, acc: 0.767
Eval epoch 34, loss: 0.510, acc: 0.722
Epoch 35, loss: 0.695, acc: 0.733
Eval epoch 35, loss: 0.494, acc: 0.667
Epoch 36, loss: 0.625, acc: 0.767
Eval epoch 36, loss: 0.439, acc: 0.833
Epoch 37, loss: 0.563, acc: 0.747
Eval epoch 37, loss: 0.588, acc: 0.722
Epoch 38, loss: 0.558, acc: 0.773
Eval epoch 38, loss: 0.558, acc: 0.778
Epoch 39, loss: 0.575, acc: 0.767
Eval epoch 39, loss: 0.402, acc: 0.778
Epoch 40, loss: 0.552, acc: 0.753
Eval epoch 40, loss: 0.588, acc: 0.611
Epoch 41, loss: 0.509, acc: 0.800
Eval epoch 41, loss: 0.853, acc: 0.611
Epoch 42, loss: 0.517, acc: 0.800
Eval epoch 42, loss: 0.742, acc: 0.722
Epoch 43, loss: 0.512, acc: 0.800
Eval epoch 43, loss: 0.536, acc: 0.778
Epoch 44, loss: 0.537, acc: 0.807
Eval epoch 44, loss: 0.433, acc: 0.778
Epoch 45, loss: 0.511, acc: 0.780
Eval epoch 45, loss: 0.346, acc: 0.778
Epoch 46, loss: 0.524, acc: 0.833
Eval epoch 46, loss: 0.346, acc: 0.778
Epoch 47, loss: 0.471, acc: 0.827
Eval epoch 47, loss: 0.632, acc: 0.778
Epoch 48, loss: 0.545, acc: 0.813
Eval epoch 48, loss: 0.450, acc: 0.722
Epoch 49, loss: 0.571, acc: 0.793
Eval epoch 49, loss: 0.440, acc: 0.667
Epoch 50, loss: 0.653, acc: 0.727
Eval epoch 50, loss: 0.470, acc: 0.722
Epoch 51, loss: 0.564, acc: 0.773
Eval epoch 51, loss: 0.339, acc: 0.833
Epoch 52, loss: 0.574, acc: 0.773
Eval epoch 52, loss: 0.563, acc: 0.722
Epoch 53, loss: 0.582, acc: 0.740
Eval epoch 53, loss: 0.820, acc: 0.722
Epoch 54, loss: 0.885, acc: 0.787
Eval epoch 54, loss: 0.614, acc: 0.667
Epoch 55, loss: 0.535, acc: 0.773
Eval epoch 55, loss: 77.330, acc: 0.389
Epoch 56, loss: 0.552, acc: 0.760
Eval epoch 56, loss: 0.325, acc: 0.889
Epoch 57, loss: 0.614, acc: 0.780
Eval epoch 57, loss: 0.366, acc: 0.889
Epoch 58, loss: 0.615, acc: 0.767
Eval epoch 58, loss: 0.349, acc: 0.778
Epoch 59, loss: 0.514, acc: 0.787
Eval epoch 59, loss: 0.367, acc: 0.833
Epoch 60, loss: 0.627, acc: 0.753
Eval epoch 60, loss: 0.393, acc: 0.778
Epoch 61, loss: 0.561, acc: 0.787
Eval epoch 61, loss: 0.325, acc: 0.778
Epoch 62, loss: 0.557, acc: 0.800
Eval epoch 62, loss: 0.440, acc: 0.778
Epoch 63, loss: 0.512, acc: 0.800
Eval epoch 63, loss: 0.399, acc: 0.833
Epoch 64, loss: 0.518, acc: 0.767
Eval epoch 64, loss: 0.370, acc: 0.833
Epoch 65, loss: 0.492, acc: 0.820
Eval epoch 65, loss: 0.379, acc: 0.889
Epoch 66, loss: 0.509, acc: 0.820
Eval epoch 66, loss: 0.320, acc: 0.833
Epoch 67, loss: 0.550, acc: 0.787
Eval epoch 67, loss: 0.347, acc: 0.889
Epoch 68, loss: 0.637, acc: 0.780
Eval epoch 68, loss: 0.365, acc: 0.889
Epoch 69, loss: 0.542, acc: 0.800
Eval epoch 69, loss: 0.339, acc: 0.833
Epoch 70, loss: 0.552, acc: 0.820
Eval epoch 70, loss: 0.382, acc: 0.889
Epoch 71, loss: 0.547, acc: 0.787
Eval epoch 71, loss: 0.429, acc: 0.722
Epoch 72, loss: 0.520, acc: 0.780
Eval epoch 72, loss: 0.577, acc: 0.778
Epoch 73, loss: 0.515, acc: 0.753
Eval epoch 73, loss: 0.803, acc: 0.611
Epoch 74, loss: 0.517, acc: 0.780
Eval epoch 74, loss: 0.711, acc: 0.611
Epoch 75, loss: 0.590, acc: 0.780
Eval epoch 75, loss: 0.530, acc: 0.722
Epoch 76, loss: 0.528, acc: 0.767
Eval epoch 76, loss: 0.476, acc: 0.778
Epoch 77, loss: 0.549, acc: 0.787
Eval epoch 77, loss: 0.424, acc: 0.722
Epoch 78, loss: 0.617, acc: 0.760
Eval epoch 78, loss: 0.437, acc: 0.778
Epoch 79, loss: 0.500, acc: 0.793
Eval epoch 79, loss: 0.573, acc: 0.778
Epoch 80, loss: 0.532, acc: 0.807
Eval epoch 80, loss: 0.472, acc: 0.778
Epoch 81, loss: 0.534, acc: 0.800
Eval epoch 81, loss: 0.520, acc: 0.722
Epoch 82, loss: 0.538, acc: 0.793
Eval epoch 82, loss: 0.416, acc: 0.778
Epoch 83, loss: 0.488, acc: 0.807
Eval epoch 83, loss: 0.544, acc: 0.778
Epoch 84, loss: 0.584, acc: 0.793
Eval epoch 84, loss: 0.351, acc: 0.833
Epoch 85, loss: 0.472, acc: 0.800
Eval epoch 85, loss: 0.488, acc: 0.611
Epoch 86, loss: 0.536, acc: 0.767
Eval epoch 86, loss: 0.427, acc: 0.667
Epoch 87, loss: 0.483, acc: 0.780
Eval epoch 87, loss: 0.441, acc: 0.722
Epoch 88, loss: 0.512, acc: 0.760
Eval epoch 88, loss: 0.387, acc: 0.778
Epoch 89, loss: 0.547, acc: 0.793
Eval epoch 89, loss: 0.401, acc: 0.833
Epoch 90, loss: 0.529, acc: 0.793
Eval epoch 90, loss: 0.490, acc: 0.722
Epoch 91, loss: 0.488, acc: 0.807
Eval epoch 91, loss: 0.540, acc: 0.778
Epoch 92, loss: 0.518, acc: 0.813
Eval epoch 92, loss: 0.481, acc: 0.722
Epoch 93, loss: 0.508, acc: 0.800
Eval epoch 93, loss: 0.527, acc: 0.722
Epoch 94, loss: 0.480, acc: 0.827
Eval epoch 94, loss: 0.544, acc: 0.667
Epoch 95, loss: 0.527, acc: 0.787
Eval epoch 95, loss: 0.386, acc: 0.778
Epoch 96, loss: 0.542, acc: 0.767
Eval epoch 96, loss: 0.335, acc: 0.778
Epoch 97, loss: 0.513, acc: 0.813
Eval epoch 97, loss: 0.439, acc: 0.833
Epoch 98, loss: 0.513, acc: 0.793
Eval epoch 98, loss: 0.313, acc: 0.833
Epoch 99, loss: 0.525, acc: 0.807
Eval epoch 99, loss: 0.388, acc: 0.833
Epoch 100, loss: 0.502, acc: 0.800
Eval epoch 100, loss: 0.432, acc: 0.778
Epoch 101, loss: 0.506, acc: 0.820
Eval epoch 101, loss: 0.458, acc: 0.667
Epoch 102, loss: 0.534, acc: 0.780
Eval epoch 102, loss: 0.422, acc: 0.722
Epoch 103, loss: 0.503, acc: 0.780
Eval epoch 103, loss: 0.731, acc: 0.667
Epoch 104, loss: 0.524, acc: 0.780
Eval epoch 104, loss: 0.603, acc: 0.667
Epoch 105, loss: 0.570, acc: 0.793
Eval epoch 105, loss: 0.625, acc: 0.722
Epoch 106, loss: 0.545, acc: 0.833
Eval epoch 106, loss: 0.415, acc: 0.778
Epoch 107, loss: 0.518, acc: 0.787
Eval epoch 107, loss: 0.383, acc: 0.833
Epoch 108, loss: 0.489, acc: 0.800
Eval epoch 108, loss: 0.379, acc: 0.889
Epoch 109, loss: 0.491, acc: 0.807
Eval epoch 109, loss: 0.346, acc: 0.778
Epoch 110, loss: 0.484, acc: 0.813
Eval epoch 110, loss: 0.532, acc: 0.667
Epoch 111, loss: 0.514, acc: 0.793
Eval epoch 111, loss: 0.407, acc: 0.667
Epoch 112, loss: 0.519, acc: 0.820
Eval epoch 112, loss: 0.513, acc: 0.833
Epoch 113, loss: 0.462, acc: 0.773
Eval epoch 113, loss: 0.442, acc: 0.722
Epoch 114, loss: 0.534, acc: 0.780
Eval epoch 114, loss: 0.587, acc: 0.778
Epoch 115, loss: 0.494, acc: 0.833
Eval epoch 115, loss: 0.431, acc: 0.722
Epoch 116, loss: 0.505, acc: 0.813
Eval epoch 116, loss: 0.478, acc: 0.778
Epoch 117, loss: 0.765, acc: 0.780
Eval epoch 117, loss: 0.518, acc: 0.667
Epoch 118, loss: 0.471, acc: 0.840
Eval epoch 118, loss: 0.433, acc: 0.778
Epoch 119, loss: 0.522, acc: 0.793
Eval epoch 119, loss: 0.334, acc: 0.889
Epoch 120, loss: 0.485, acc: 0.793
Eval epoch 120, loss: 0.450, acc: 0.722
Epoch 121, loss: 0.488, acc: 0.833
Eval epoch 121, loss: 0.651, acc: 0.778
Epoch 122, loss: 0.498, acc: 0.820
Eval epoch 122, loss: 0.734, acc: 0.722
